#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B2F9A0
#Date Time: 2024-09-04 00:36:07.235
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 450 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 220 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 kHz
#Period: 10 us
#Amplitude: 2 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

#
Time (s),Channel 1 (V),Channel 2 (V)
-4.096e-05,-1.135078728875864,-0.6802055115182583
-4.095e-05,-1.123575144387378,-0.6778515904699126
-4.094e-05,-1.113424922779885,-0.671126101760352
-4.093e-05,-1.103274701172406,-0.6677633574055756
-4.092e-05,-1.091094435243416,-0.6633917897443606
-4.091e-05,-1.082297576516926,-0.6573388499057575
-4.09e-05,-1.06977896986769,-0.6536398311155001
-4.089e-05,-1.061658792581704,-0.6462417935349885
-4.088e-05,-1.048463504491966,-0.6435515980511616
-4.087e-05,-1.039328305045226,-0.64052512813186
-4.086e-05,-1.02782472055674,-0.6337996394223009
-4.085e-05,-1.016321136068248,-0.6297643461965632
-4.084e-05,-1.005155892300016,-0.6247202296643962
-4.083e-05,-0.9956823521330274,-0.6200123875677049
-4.082e-05,-0.9818103826027936,-0.6142957221645797
-4.081e-05,-0.9750435681977959,-0.6105967033743203
-4.08e-05,-0.9625249615485719,-0.6062251357131109
-4.079e-05,-0.9523747399410781,-0.6028623913583294
-4.078e-05,-0.9391794518513437,-0.5958006282132924
-4.077e-05,-0.9303825931248491,-0.5907565116811214
-4.076e-05,-0.9195556900768715,-0.5870574928908673
-4.075e-05,-0.9056837205466329,-0.5823496507941743
-4.074e-05,-0.8955334989391448,-0.5759604365200932
-4.073e-05,-0.8806465072481623,-0.5709163199879239
-4.072e-05,-0.8738796928431734,-0.5655359290202792
-4.071e-05,-0.8620377676344341,-0.5611643613590633
-4.07e-05,-0.8508725238661972,-0.5554476959559382
-4.069e-05,-0.8380155764967123,-0.549731030552813
-4.068e-05,-0.827188673448721,-0.5467045606335087
-4.067e-05,-0.8183918147222353,-0.5406516207949084
-4.066e-05,-0.8035048230312528,-0.5345986809563051
-4.065e-05,-0.7947079643047631,-0.529554564424136
-4.064e-05,-0.7828660390960213,-0.5282094666822205
-4.063e-05,-0.7703474324467973,-0.5201388802307569
-4.062e-05,-0.7585055072380555,-0.5147584892631061
-4.061e-05,-0.7459869005888202,-0.5087055494245029
-4.06e-05,-0.7354983382610767,-0.5053428050697206
-4.059e-05,-0.7226413908916035,-0.4992898652311231
-4.058e-05,-0.7097844435221127,-0.494245748698951
-4.057e-05,-0.6999725626348742,-0.4892016321667817
-4.056e-05,-0.6881306374261381,-0.4824761434572227
-4.055e-05,-0.675273690056659,-0.4767594780541001
-4.054e-05,-0.6627550834074178,-0.4707065382154944
-4.053e-05,-0.6492214545974337,-0.4659986961188031
-4.052e-05,-0.6411012773114433,-0.4616271284575897
-4.051e-05,-0.6255376041799554,-0.4562467374899399
-4.05e-05,-0.6120039753699773,-0.4505300720868173
-4.049e-05,-0.599485368720742,-0.445485955554648
-4.048e-05,-0.5889968063930043,-0.4401055645870008
-4.047e-05,-0.5768165404640125,-0.4327075270064826
-4.046e-05,-0.5632829116540345,-0.4256457638614488
-4.045e-05,-0.5531326900465464,-0.4236281172485812
-4.044e-05,-0.5423057869985591,-0.4172389029745001
-4.043e-05,-0.5274187953075709,-0.4111859631358942
-4.042e-05,-0.5149001886583469,-0.4051330232972966
-4.041e-05,-0.5037349448901043,-0.3987438090232127
-4.04e-05,-0.4898629753598707,-0.3950447902329552
-4.039e-05,-0.4776827094308849,-0.3879830270879182
-4.038e-05,-0.4668558063829025,-0.3822663616847957
-4.037e-05,-0.4543371997336623,-0.3765496962816679
-4.036e-05,-0.4414802523641774,-0.3718418541849766
-4.035e-05,-0.4313300307566893,-0.3661251887818514
-4.034e-05,-0.4194881055479473,-0.3600722489432451
-4.033e-05,-0.4066311581784683,-0.3530104857982113
-4.032e-05,-0.3927591886482346,-0.3493114670079538
-4.031e-05,-0.3799022412787496,-0.3432585271693507
-4.03e-05,-0.3677219753497581,-0.3365330384597898
-4.029e-05,-0.354865027980279,-0.3324977452340562
-4.028e-05,-0.3430231027715428,-0.3254359820890192
-4.027e-05,-0.3294894739615587,-0.3183742189439822
-4.026e-05,-0.3190009116338158,-0.3123212791053759
-4.025e-05,-0.3074973271453397,-0.3052595159603454
-4.024e-05,-0.292610335454352,-0.3015604971700847
-4.023e-05,-0.2794150473646174,-0.2941624595895698
-4.022e-05,-0.2662197592748829,-0.2891183430574005
-4.021e-05,-0.2537011526256533,-0.2817203054768889
-4.02e-05,-0.2405058645359131,-0.2773487378156722
-4.019e-05,-0.2273105764461786,-0.2716320724125469
-4.018e-05,-0.2174986955589401,-0.2652428581384658
-4.017e-05,-0.2053184296299599,-0.2598624671708211
-4.016e-05,-0.191108119379471,-0.2538095273322155
-4.015e-05,-0.1789278534504853,-0.2477565874936124
-4.014e-05,-0.1667475875214996,-0.243385019832399
-4.013e-05,-0.1532139587115096,-0.2349781589454487
-4.012e-05,-0.1403570113420305,-0.2316154145906707
-4.011e-05,-0.128853426853544,-0.2238811025746778
-4.01e-05,-0.1166731609245583,-0.2181644371715526
-4.009e-05,-0.1031395321145682,-0.2121114973329465
-4.008e-05,-0.08994424402484565,-0.2053860086233935
-4.007e-05,-0.07742563737560434,-0.1996693432202653
-4.006e-05,-0.06592205288711783,-0.1926075800752283
-4.005e-05,-0.05205008335687872,-0.1865546402366225
-4.004e-05,-0.04020815814815337,-0.1808379748335026
-4.003e-05,-0.0307346179811591,-0.1751213094303748
-4.002e-05,-0.01517094484967735,-0.1680595462853378
-4.001e-05,-0.00129897531944362,-0.1616703320112567
-4e-05,0.007836224127291512,-0.1556173921726564
-3.999e-05,0.0217081936575294,-0.1505732756404843
-3.998e-05,0.03524182246751353,-0.1428389636244914
-3.997e-05,0.04979047343824646,-0.1367860237858883
-3.996e-05,0.06129405792673897,-0.1317419072537164
-3.995e-05,0.07448934601646749,-0.1260252418505939
-3.994e-05,0.08633127122520361,-0.1186272042700789
-3.993e-05,0.09546647067194289,-0.1135830877379096
-3.992e-05,0.1130601881249269,-0.107866422334782
-3.991e-05,0.1232104097324057,-0.1024860313671397
-3.99e-05,0.1367440385423945,-0.09542426822210025
-3.989e-05,0.151631030233377,-0.08735368177062941
-3.988e-05,0.1627962740016198,-0.08499976072228038
-3.987e-05,0.175653221371093,-0.07760172314177216
-3.986e-05,0.1864801244190862,-0.07087623443220978
-3.985e-05,0.2013671161100687,-0.06314192241621688
-3.984e-05,0.213885722759304,-0.0574252570130917
-3.983e-05,0.2264043294085336,-0.05170859160996913
-3.982e-05,0.2392612767780243,-0.04498310290040749
-3.981e-05,0.2534715870285076,-0.03859388862632641
-3.98e-05,0.2642984900764949,-0.03354977209415713
-3.979e-05,0.2781704596067346,-0.02783310669102889
-3.978e-05,0.2913657476964632,-0.02110761798147292
-3.977e-05,0.3001626064229528,-0.01471840370739184
-3.976e-05,0.3150495981139354,-0.01068311048165642
-3.975e-05,0.3262148418821788,-0.00294879846566062
-3.974e-05,0.3404251521326491,0.003440415808414652
-3.973e-05,0.3532820995021405,0.009157081211542737
-3.972e-05,0.3641090025501278,0.01521002105014587
-3.971e-05,0.378319312800617,0.02260805863066295
-3.97e-05,0.3911762601700903,0.02731590072734999
-3.969e-05,0.4036948668193314,0.03404138943691117
-3.968e-05,0.4138450884268196,0.03908550596908044
-3.967e-05,0.4283937393975524,0.04614726911411743
-3.966e-05,0.4398973238860338,0.05220020895271781
-3.965e-05,0.4514009083745254,0.05724432548488984
-3.964e-05,0.4615511299820135,0.06464236306540477
-3.963e-05,0.4750847587919976,0.07035902846852995
-3.962e-05,0.4879417061614887,0.07775706604904703
-3.961e-05,0.5014753349714668,0.08246490814573622
-3.96e-05,0.5143322823409516,0.08851784798433934
-3.959e-05,0.5258358668294382,0.09557961112937632
-3.958e-05,0.5383544734786784,0.1012962765325044
-3.957e-05,0.5491813765266559,0.1076854908065797
-3.956e-05,0.5600082795746482,0.1147472539516196
-3.955e-05,0.5735419083846323,0.1197913704837889
-3.954e-05,0.5860605150338725,0.1268531336288283
-3.953e-05,0.59688741808185,0.1322335245964706
-3.952e-05,0.6080526618500918,0.1376139155641203
-3.951e-05,0.6202329277790775,0.1453482275801132
-3.95e-05,0.6327515344283128,0.1507286185477604
-3.949e-05,0.6456084817977918,0.156445283950883
-3.948e-05,0.6584654291672827,0.1621619493540108
-3.947e-05,0.6726757394177659,0.1695599869345257
-3.946e-05,0.6831643017455037,0.1756129267731288
-3.945e-05,0.6963595898352425,0.180657043305301
-3.944e-05,0.705833130002227,0.1870462575793792
-3.943e-05,0.7176750552109632,0.1941080207244162
-3.942e-05,0.7298553211399489,0.1988158628211075
-3.941e-05,0.7427122685094375,0.2058776259661468
-3.94e-05,0.7508324457954243,0.2109217424983138
-3.939e-05,0.7636893931649092,0.2179835056433508
-3.938e-05,0.7768846812546437,0.2237001710464759
-3.937e-05,0.7883882657431363,0.2300893853205593
-3.936e-05,0.8015835538328588,0.235133501852724
-3.935e-05,0.8127487976011017,0.2435403627396751
-3.934e-05,0.8228990192085898,0.2479119304008885
-3.933e-05,0.8350792851375755,0.2549736935459255
-3.932e-05,0.845906188185558,0.2603540845135702
-3.931e-05,0.8574097726740493,0.2677521220940876
-3.93e-05,0.867898335001787,0.2714511408843451
-3.929e-05,0.8824469859725199,0.2795217273358159
-3.928e-05,0.8929355483002623,0.2849021183034662
-3.927e-05,0.9030857699077457,0.2916276070130221
-3.926e-05,0.9152660358367315,0.2966717235451914
-3.925e-05,0.9237245538429716,0.3054148588676182
-3.924e-05,0.9369198419327109,0.3081050543514449
-3.923e-05,0.9477467449806933,0.3148305430610009
-3.922e-05,0.9578969665881815,0.320547208464126
-3.921e-05,0.9690622103564184,0.3269364227382071
-3.92e-05,0.9795507726841607,0.3313079903994234
-3.919e-05,0.9897009942916395,0.3376972046734987
-3.918e-05,1.002219600940879,0.3434138700766267
-3.917e-05,1.013384844709116,0.3498030843507078
-3.916e-05,1.024888429197603,0.3565285730602669
-3.915e-05,1.037407035846832,0.3619089640279116
-3.914e-05,1.047557257454326,0.3689707271729511
-3.913e-05,1.059399182663062,0.3743511181405983
-3.912e-05,1.068534382109802,0.3773775880598998
-3.911e-05,1.079361285157784,0.3847756256404114
-3.91e-05,1.088496484604528,0.3911648399144959
-3.909e-05,1.097970024771517,0.3955364075757093
-3.908e-05,1.111503653581501,0.4005805241078786
-3.907e-05,1.120977193748495,0.4049520917690949
-3.906e-05,1.132819118957226,0.411341306043173
-3.905e-05,1.145337725606461,0.418066794752732
-3.904e-05,1.154134584332951,0.4234471857203793
-3.903e-05,1.161578080178448,0.429163851123507
-3.902e-05,1.173420005387173,0.434880516526627
-3.901e-05,1.183908567714916,0.4382432608814092
-3.9e-05,1.195412152203403,0.4449687495909682
-3.899e-05,1.202855648048899,0.4496765916876624
-3.898e-05,1.213005869656377,0.4560658059617377
-3.897e-05,1.224509454144869,0.4627912946712996
-3.896e-05,1.234998016472606,0.4678354112034689
-3.895e-05,1.242779853038347,0.4715344299937264
-3.894e-05,1.25326841536608,0.4769148209613712
-3.893e-05,1.263080296253323,0.4836403096709326
-3.892e-05,1.276275584343058,0.4890207006385798
-3.891e-05,1.281350695146802,0.4930559938643153
-3.89e-05,1.292515938915043,0.4994452081383985
-3.889e-05,1.302327819802277,0.5041530502350877
-3.888e-05,1.312816382130015,0.5095334412027349
-3.887e-05,1.322628263017254,0.5162589299122939
-3.886e-05,1.32939507742225,0.5206304975735098
-3.885e-05,1.339545299029729,0.5260108885411521
-3.884e-05,1.349357179916972,0.5313912795088018
-3.883e-05,1.35950740152446,0.5350902982990593
-3.882e-05,1.367289238090207,0.5414795125731428
-3.881e-05,1.379131163298932,0.5468599035407852
-3.88e-05,1.386236318424179,0.5525765689439127
-3.879e-05,1.391988110668422,0.5556030388632143
-3.878e-05,1.401123310115161,0.5609834298308616
-3.877e-05,1.411950213163144,0.5646824486211174
-3.876e-05,1.421423753330138,0.572080486201634
-3.875e-05,1.430558952776877,0.5764520538628474
-3.874e-05,1.439017470783117,0.5831775425724064
-3.873e-05,1.449167692390608,0.5855314636207546
-3.872e-05,1.456272847515847,0.5912481290238772
-3.871e-05,1.464731365522087,0.5952834222496126
-3.87e-05,1.474543246409325,0.6020089109591716
-3.869e-05,1.48266342369532,0.6057079297494316
-3.868e-05,1.490783600981303,0.6110883207170739
-3.867e-05,1.498565437547047,0.6154598883782897
-3.866e-05,1.509053999874785,0.6191589071685472
-3.865e-05,1.51717417716078,0.6248755725716749
-3.864e-05,1.52630937660751,0.630592237974795
-3.863e-05,1.532737850292257,0.6353000800714889
-3.862e-05,1.540858027578248,0.6383265499907904
-3.861e-05,1.551008249185736,0.6443794898293935
-3.86e-05,1.557775063590725,0.6511049785389496
-3.859e-05,1.565895240876718,0.6517775274099085
-3.858e-05,1.574015418162709,0.6564853695065999
-3.857e-05,1.582473936168949,0.6628745837806809
-3.856e-05,1.590255772734693,0.6675824258773746
-3.855e-05,1.597699268580181,0.6726265424095416
-3.854e-05,1.603789401544674,0.6766618356352769
-3.853e-05,1.613262941711663,0.6813696777319682
-3.852e-05,1.622059800438155,0.6847324220867498
-3.851e-05,1.627473251962144,0.6891039897479592
-3.85e-05,1.635931769968386,0.6941481062801305
-3.849e-05,1.643036925093628,0.6991922228122998
-3.848e-05,1.648788717337874,0.7035637904735143
-3.847e-05,1.65555553174286,0.7062539859573355
-3.846e-05,1.665367412630102,0.7116343769249839
-3.845e-05,1.673825930636342,0.7166784934571532
-3.844e-05,1.680254404321084,0.7203775122474106
-3.843e-05,1.684314492964078,0.7244128054731442
-3.842e-05,1.694464714571567,0.7284480986988815
-3.841e-05,1.699539825375312,0.7334922152310508
-3.84e-05,1.704276595458806,0.7375275084567862
-3.839e-05,1.710705069143551,0.7398814295051342
-3.838e-05,1.716118520667542,0.7449255460373011
-3.837e-05,1.722208653632035,0.7496333881339925
-3.836e-05,1.730667171638275,0.7546775046661618
-3.835e-05,1.738787348924268,0.7563588768435535
-3.834e-05,1.744877481888758,0.7607304445047649
-3.833e-05,1.751982637014,0.7651020121659783
-3.832e-05,1.759087792139242,0.7681284820852798
-3.831e-05,1.76348622150249,0.7718275008755394
-3.83e-05,1.770929717347975,0.7765353429722265
-3.829e-05,1.774989805990973,0.780906910633442
-3.828e-05,1.781418279675715,0.7842696549882215
-3.827e-05,1.78581670903896,0.7872961249075231
-3.826e-05,1.793936886324947,0.7909951436977789
-3.825e-05,1.796305271366698,0.7936853391816041
-3.824e-05,1.805778811533687,0.7977206324073396
-3.823e-05,1.810853922337431,0.802092200068553
-3.822e-05,1.814914010980424,0.8031010233749863
-3.821e-05,1.823034188266417,0.8108353353909796
-3.82e-05,1.825402573308164,0.8111716098264576
-3.819e-05,1.830139343391658,0.8145343541812371
-3.818e-05,1.8379211799574,0.8185696474069747
-3.817e-05,1.840289564999146,0.8232774895036639
-3.816e-05,1.847056379404139,0.8252951361165316
-3.815e-05,1.850439786606635,0.8273127827293993
-3.814e-05,1.854838215969883,0.8323568992615703
-3.813e-05,1.862281711815367,0.8360559180518244
-3.812e-05,1.867695163339364,0.8394186624066056
-3.811e-05,1.870401889101361,0.8417725834549512
-3.81e-05,1.873785296303857,0.8451353278097308
-3.809e-05,1.880213769988597,0.848161797729031
-3.808e-05,1.884612199351845,0.850515718777378
-3.807e-05,1.889010628715089,0.8535421886966795
-3.806e-05,1.892732376637835,0.8558961097450252
-3.805e-05,1.899160850322575,0.8606039518417145
-3.804e-05,1.902882598245323,0.8629578728900622
-3.803e-05,1.907619368328818,0.8636304217610181
-3.802e-05,1.912017797692062,0.8686745382931874
-3.801e-05,1.916077886335059,0.8710284593415346
-3.8e-05,1.918446271376805,0.8743912036963125
-3.799e-05,1.92284470074005,0.87809022248657
-3.798e-05,1.927581470823544,0.8807804179703936
-3.797e-05,1.930288196585543,0.8851519856316078
-3.796e-05,1.934348285228534,0.886833357808996
-3.795e-05,1.937393351710783,0.8895235532928204
-3.794e-05,1.941791781074028,0.8915411999056881
-3.793e-05,1.943483484675277,0.8945676698249904
-3.792e-05,1.947543573318269,0.8959127675669007
-3.791e-05,1.949911958360018,0.8996117863571589
-3.79e-05,1.954987069163762,0.9029745307119385
-3.789e-05,1.957693794925759,0.9046559028893282
-3.788e-05,1.962430565009251,0.9053284517602838
-3.787e-05,1.963783927890252,0.9090274705505416
-3.786e-05,1.966152312931999,0.9110451171634093
-3.785e-05,1.966490653652248,0.913735312647233
-3.784e-05,1.971565764455993,0.915080410389146
-3.783e-05,1.971904105176242,0.9181068803084462
-3.782e-05,1.974610830938239,0.920460801356792
-3.781e-05,1.978670919581234,0.9228147224051376
-3.78e-05,1.981039304622983,0.9238235457115731
-3.779e-05,1.983407689664727,0.9275225645018272
-3.778e-05,1.985099393265977,0.9285313878082628
-3.777e-05,1.988144459748223,0.9315578577275644
-3.776e-05,1.988821141188722,0.9332392299049544
-3.775e-05,1.989159481908972,0.9339117787759097
-3.774e-05,1.994234592712716,0.9372745231306895
-3.773e-05,1.996941318474713,0.940973541920947
-3.772e-05,1.997956340635461,0.9406372674854691
-3.771e-05,1.999648044236709,0.9426549140983359
-3.77e-05,2.001339747837958,0.9443362862757265
-3.769e-05,2.000663066397459,0.9466902073240722
-3.768e-05,2.002693110718956,0.9487078539369399
-3.767e-05,2.004723155040454,0.9487078539369411
-3.766e-05,2.004384814320204,0.9513980494207634
-3.765e-05,2.005738177201203,0.9540882449045871
-3.764e-05,2.0084449029632,0.9567784403884108
-3.763e-05,2.0084449029632,0.9564421659529329
-3.762e-05,2.009459925123948,0.9567784403884106
-3.761e-05,2.010136606564448,0.9591323614367564
-3.76e-05,2.013858354487193,0.9618225569205801
-3.759e-05,2.012166650885946,0.961150008049625
-3.758e-05,2.014535035927691,0.9631676546624909
-3.757e-05,2.014535035927692,0.9651853012753595
-3.756e-05,2.013520013766943,0.9658578501463154
-3.755e-05,2.014196695207443,0.9668666734527492
-3.754e-05,2.015211717368191,0.9678754967591827
-3.753e-05,2.013181673046694,0.968884320065617
-3.752e-05,2.013858354487193,0.9698931433720508
-3.751e-05,2.014196695207443,0.9698931433720508
-3.75e-05,2.013858354487193,0.9732558877268302
-3.749e-05,2.013181673046694,0.9729196132913525
-3.748e-05,2.014535035927692,0.9749372599042201
-3.747e-05,2.012166650885945,0.9752735343396981
-3.746e-05,2.011489969445447,0.9742647110332658
