#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B2F9A0
#Date Time: 2024-09-04 00:38:47.783
#Sample rate: 27300Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 450 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 220 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 10 Hz
#Period: 100 ms
#Amplitude: 2 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

#
Time (s),Channel 1 (V),Channel 2 (V)
-0.15003648,-0.0006222938789444139,-0.07188505773864363
-0.14999985,-0.006035745402938065,-0.07255760660959953
-0.14996322,-0.01077251548643036,-0.07255760660959953
-0.14992659,-0.01550928556992695,-0.07255760660959953
-0.14988996,-0.01787767061167418,-0.07154878330316568
-0.14985333,-0.02261444069516647,-0.07154878330316568
-0.1498167,-0.02701287005841346,-0.07154878330316568
-0.14978007,-0.03208798086215751,-0.07188505773864363
-0.14974344,-0.0368247509456498,-0.07188505773864363
-0.14970681,-0.041899861749396,-0.07222133217412158
-0.14967018,-0.0469749725531422,-0.07222133217412158
-0.14963355,-0.05171174263663234,-0.07222133217412158
-0.14959692,-0.05678685344037854,-0.07255760660959953
-0.14956029,-0.06118528280362431,-0.07255760660959908
-0.14952366,-0.063215327125121,-0.07154878330316568
-0.14948703,-0.06829043792886505,-0.07154878330316568
-0.1494504,-0.07336554873261156,-0.07188505773864379
-0.14941377,-0.07877900025660275,-0.07222133217412158
-0.14937714,-0.08283908889959798,-0.07222133217412158
-0.14934051,-0.08825254042359394,-0.07255760660959953
-0.14930388,-0.09332765122733569,-0.07255760660959953
-0.14926725,-0.09772608059058054,-0.07255760660959953
-0.14923062,-0.1028011913943223,-0.07289388104507734
-0.14919399,-0.1071996207575694,-0.07255760660959953
-0.14915736,-0.1112597094005647,-0.07222133217412158
-0.14912073,-0.1146431166030591,-0.07154878330316598
-0.1490841,-0.1193798866865551,-0.07154878330316568
-0.14904747,-0.1244549974902992,-0.07188505773864363
-0.14901084,-0.128853426853542,-0.07188505773864363
-0.14897421,-0.1339285376572881,-0.07222133217412158
-0.14893758,-0.1390036484610341,-0.07222133217412173
-0.14890095,-0.143402077824275,-0.07255760660959938
-0.14886432,-0.148477188628021,-0.07255760660959953
-0.14882769,-0.1535522994317668,-0.07289388104507719
-0.14879106,-0.1572740473545107,-0.07222133217412158
-0.14875443,-0.1603191138367571,-0.07154878330316568
-0.1487178,-0.165055883920254,-0.07154878330316583
-0.14868117,-0.1704693354442452,-0.07188505773864363
-0.14864454,-0.1748677648074901,-0.07188505773864363
-0.14860791,-0.1799428756112363,-0.07222133217412158
-0.14857128,-0.1846796456947286,-0.07222133217412158
-0.14853465,-0.189416415778223,-0.07222133217412158
-0.14849802,-0.1948298673022142,-0.07289388104507719
-0.14846139,-0.1992282966654615,-0.07255760660959953
-0.14842476,-0.2049800889097047,-0.07289388104507749
-0.14838813,-0.2070101332312015,-0.07188505773864409
-0.1483515,-0.2110702218741976,-0.07154878330316568
-0.14831487,-0.215806991957692,-0.07188505773864363
-0.14827824,-0.2208821027614338,-0.07188505773864363
-0.14824161,-0.2259572135651801,-0.07222133217412158
-0.14820498,-0.2306939836486769,-0.07222133217412158
-0.14816835,-0.2357690944524163,-0.07222133217412158
-0.14813172,-0.2405058645359131,-0.07222133217412158
-0.14809509,-0.2452426346194098,-0.07255760660959953
-0.14805846,-0.2503177454231515,-0.07255760660959953
-0.14802183,-0.2523477897446492,-0.07154878330316568
-0.1479852,-0.2567462191078964,-0.07154878330316583
-0.14794857,-0.2618213299116381,-0.07188505773864363
-0.14791194,-0.2662197592748829,-0.07154878330316568
-0.14787531,-0.2712948700786291,-0.07188505773864363
-0.14783868,-0.2760316401621214,-0.07188505773864363
-0.14780205,-0.2807684102456158,-0.07222133217412158
-0.14776542,-0.286181861769607,-0.07222133217412158
-0.14772879,-0.2905802911328543,-0.07222133217412158
-0.14769216,-0.2956554019365984,-0.07255760660959953
-0.14765553,-0.3003921720200907,-0.07255760660959953
-0.1476189,-0.30276055706184,-0.07154878330316568
-0.14758227,-0.3071589864250849,-0.07121250886768772
-0.14754564,-0.3122340972288267,-0.07154878330316553
-0.14750901,-0.3169708673123234,-0.07188505773864363
-0.14747238,-0.3213692966755706,-0.07154878330316598
-0.14743575,-0.3264444074793099,-0.07222133217412127
-0.14739912,-0.3315195182830564,-0.07222133217412158
-0.14736249,-0.3362562883665529,-0.07222133217412158
-0.14732586,-0.3409930584500452,-0.07222133217412158
-0.14728923,-0.3457298285335396,-0.07255760660959953
-0.1472526,-0.3477598728550395,-0.07121250886768772
-0.14721597,-0.3524966429385318,-0.07121250886768772
-0.14717934,-0.3575717537422758,-0.07154878330316568
-0.14714271,-0.3623085238257723,-0.07154878330316568
-0.14710608,-0.366706953189015,-0.07154878330316568
-0.14706945,-0.3721204047130087,-0.07154878330316568
-0.14703282,-0.3771955155167505,-0.07222133217412127
-0.14699619,-0.3815939448799976,-0.07222133217412158
-0.14695956,-0.386330714963492,-0.07222133217412158
-0.14692293,-0.3910674850469844,-0.07222133217412158
-0.1468863,-0.3930975293684841,-0.07087623443220978
-0.14684967,-0.3978342994519786,-0.07121250886768772
-0.14681304,-0.4025710695354709,-0.07121250886768772
-0.14677641,-0.4073078396189674,-0.07121250886768772
-0.14673978,-0.4123829504227138,-0.07154878330316583
-0.14670315,-0.4174580612264532,-0.07188505773864348
-0.14666652,-0.4218564905897004,-0.07154878330316568
-0.14662989,-0.426593260673197,-0.07188505773864363
-0.14659326,-0.4313300307566893,-0.07188505773864363
-0.14655663,-0.4360668008401837,-0.07188505773864363
-0.14652,-0.4397885487629308,-0.07154878330316522
-0.14648337,-0.4428336152451758,-0.07053995999673182
-0.14644674,-0.4472320446084206,-0.07087623443220978
-0.14641011,-0.4523071554121669,-0.07121250886768772
-0.14637348,-0.4570439254956591,-0.07121250886768772
-0.14633685,-0.4621190362994032,-0.07154878330316568
-0.14630022,-0.4668558063828954,-0.07154878330316568
-0.14626359,-0.4712542357461424,-0.07154878330316568
-0.14622696,-0.4759910058296369,-0.07154878330316568
-0.14619033,-0.4803894351928798,-0.07121250886768787
-0.1461537,-0.484449523835877,-0.07121250886768772
-0.14611707,-0.4874945903181234,-0.07053995999673182
-0.14608044,-0.4922313604016157,-0.07053995999673182
-0.14604381,-0.4973064712053619,-0.07087623443220978
-0.14600718,-0.5020432412888585,-0.07087623443220993
-0.14597055,-0.5067800113723486,-0.07121250886768757
-0.14593392,-0.510840100015346,-0.07087623443220978
-0.14589729,-0.5159152108190924,-0.07087623443220993
-0.14586066,-0.5209903216228341,-0.07121250886768772
-0.14582403,-0.5260654324265781,-0.07154878330316568
-0.1457874,-0.5304638617898242,-0.07188505773864302
-0.14575077,-0.5331705875518198,-0.07053995999673182
-0.14571414,-0.5368923354745655,-0.07020368556125386
-0.14567751,-0.5419674462783115,-0.07053995999673167
-0.14564088,-0.5463658756415544,-0.07020368556125386
-0.14560425,-0.5514409864452984,-0.07053995999673182
-0.14556762,-0.5555010750882917,-0.07053995999673182
-0.14553099,-0.5605761858920377,-0.07053995999673182
-0.14549436,-0.5649746152552825,-0.07087623443220978
-0.14545773,-0.5697113853387749,-0.07087623443220978
-0.1454211,-0.5744481554222715,-0.07121250886768772
-0.14538447,-0.576478199743769,-0.06986741112577592
-0.14534784,-0.5808766291070119,-0.06953113669029812
-0.14531121,-0.5856133991905083,-0.06986741112577592
-0.14527458,-0.5900118285537554,-0.06986741112577607
-0.14523795,-0.5950869393574949,-0.07020368556125371
-0.14520132,-0.599485368720742,-0.07020368556125386
-0.14516469,-0.6042221388042386,-0.07020368556125402
-0.14512806,-0.608958908887731,-0.07053995999673182
-0.14509143,-0.6133573382509758,-0.07020368556125386
-0.1450548,-0.6180941083344721,-0.07053995999673167
-0.14501817,-0.6221541969774654,-0.07020368556125386
-0.14498154,-0.6245225820192126,-0.06919486225482002
-0.14494491,-0.6289210113824596,-0.06919486225482017
-0.14490828,-0.633657781465952,-0.06953113669029796
-0.14487165,-0.638732892269696,-0.06953113669029796
-0.14483502,-0.6431313216329388,-0.06953113669029796
-0.14479839,-0.6478680917164353,-0.06986741112577592
-0.14476176,-0.6526048617999297,-0.06986741112577592
-0.14472513,-0.6570032911631726,-0.07020368556125371
-0.1446885,-0.6620784019669186,-0.07020368556125386
-0.14465187,-0.6658001498896643,-0.06986741112577592
-0.14461524,-0.6681685349314104,-0.06885858781934252
-0.14457861,-0.672905305014906,-0.06919486225482002
-0.14454198,-0.6776420750984025,-0.06919486225482017
-0.14450535,-0.6823788451818927,-0.06953113669029781
-0.14446872,-0.6867772745451397,-0.06953113669029796
-0.14443209,-0.6915140446286362,-0.06986741112577577
-0.14439546,-0.6962508147121286,-0.06953113669029796
-0.14435883,-0.7006492440753734,-0.06953113669029796
-0.1443222,-0.7053860141588697,-0.06986741112577577
-0.14428557,-0.709446102801863,-0.06953113669029796
-0.14424894,-0.7135061914448583,-0.06953113669029796
-0.14421231,-0.716212917206857,-0.06852231338386411
-0.14417568,-0.7202730058498504,-0.06852231338386411
-0.14413905,-0.7253481166535944,-0.06852231338386411
-0.14410242,-0.7294082052965878,-0.06852231338386411
-0.14406579,-0.7344833161003337,-0.06919486225482002
-0.14402916,-0.7388817454635785,-0.06885858781934207
-0.14399253,-0.7429418341065719,-0.06885858781934207
-0.1439559,-0.7480169449103179,-0.06919486225482002
-0.14391927,-0.7524153742735626,-0.06919486225482002
-0.14388264,-0.756475462916556,-0.06919486225482002
-0.14384601,-0.7591821886785547,-0.06818603894838617
-0.14380938,-0.7635806180418017,-0.06784976451290851
-0.14377275,-0.7683173881252919,-0.0685223133838638
-0.14373612,-0.7720391360480396,-0.06818603894838617
-0.14369949,-0.7771142468517858,-0.06818603894838632
-0.14366286,-0.7815126762150285,-0.06852231338386411
-0.14362623,-0.7855727648580237,-0.06852231338386411
-0.1435896,-0.7903095349415202,-0.06852231338386411
-0.14355297,-0.7947079643047631,-0.06852231338386411
-0.14351634,-0.7977530307870095,-0.06784976451290821
-0.14347971,-0.8007980972692581,-0.06717721564195246
-0.14344308,-0.8055348673527504,-0.06751349007743025
-0.14340645,-0.8099332967159952,-0.06751349007743025
-0.14336982,-0.8143317260792381,-0.06751349007743025
-0.14333319,-0.8190684961627345,-0.06784976451290821
-0.14329656,-0.8234669255259793,-0.06784976451290821
-0.14325993,-0.8285420363297211,-0.06784976451290821
-0.1432233,-0.8322637842524691,-0.06784976451290821
-0.14318667,-0.8366622136157139,-0.06784976451290821
-0.14315004,-0.8413989836992062,-0.06818603894838601
-0.14311341,-0.8437673687409556,-0.06717721564195231
-0.14307678,-0.8478274573839527,-0.06684094120647435
-0.14304015,-0.8518875460269442,-0.06684094120647435
-0.14300352,-0.8562859753901909,-0.06684094120647435
-0.14296689,-0.8606844047534377,-0.06717721564195231
-0.14293026,-0.8650828341166805,-0.06717721564195231
-0.14289363,-0.8694812634799254,-0.06717721564195231
-0.142857,-0.8742180335634218,-0.0675134900774301
-0.14282037,-0.8782781222064151,-0.06717721564195231
-0.14278374,-0.8830148922899095,-0.06751349007743025
-0.14274711,-0.8847065958911594,-0.06616839233551845
-0.14271048,-0.8887666845341528,-0.06616839233551845
-0.14267385,-0.8931651138973976,-0.06616839233551845
-0.14263722,-0.8975635432606405,-0.06650466677099624
-0.14260059,-0.9023003133441369,-0.0665046667709964
-0.14256396,-0.9063604019871321,-0.0665046667709964
-0.14252733,-0.9110971720706245,-0.0665046667709964
-0.1424907,-0.9151572607136218,-0.0665046667709964
-0.14245407,-0.9188790086363674,-0.0665046667709964
-0.14241744,-0.9239541194401092,-0.0668409412064742
-0.14238081,-0.9276758673628571,-0.0665046667709964
-0.14234418,-0.9297059116843568,-0.06549584346456255
-0.14230755,-0.9341043410475977,-0.06549584346456255
-0.14227092,-0.9385027704108444,-0.06549584346456255
-0.14223429,-0.9429011997740911,-0.06583211790004034
-0.14219766,-0.9469612884170845,-0.06549584346456255
-0.14216103,-0.9513597177803294,-0.0658321179000405
-0.1421244,-0.9554198064233265,-0.0658321179000405
-0.14208777,-0.9594798950663198,-0.0658321179000405
-0.14205114,-0.9638783244295647,-0.0658321179000405
-0.14201451,-0.9682767537928103,-0.06583211790004004
-0.14197788,-0.9699684573940576,-0.06482329459360664
-0.14194125,-0.9743668867573024,-0.06482329459360664
-0.14190462,-0.9784269754002997,-0.06482329459360679
-0.14186799,-0.9828254047635424,-0.0651595690290846
-0.14183136,-0.9868854934065378,-0.06482329459360664
-0.14179473,-0.9912839227697805,-0.06515956902908444
-0.1417581,-0.9956823521330274,-0.0651595690290846
-0.14172147,-0.999404100055773,-0.0651595690290846
-0.14168484,-1.004479210859515,-0.0654958434645624
-0.14164821,-1.008200958782263,-0.06549584346456255
-0.14161158,-1.011246025264509,-0.06482329459360664
-0.14157495,-1.013952751026505,-0.06381447128717324
-0.14153832,-1.018012839669501,-0.06415074572265074
-0.14150169,-1.022411269032748,-0.06415074572265089
-0.14146506,-1.026809698395989,-0.06448702015812854
-0.14142843,-1.030869787038986,-0.06415074572265074
-0.1413918,-1.035268216402233,-0.06415074572265089
-0.14135517,-1.039328305045226,-0.0644870201581287
-0.14131854,-1.044065075128721,-0.06482329459360664
-0.14128191,-1.047786823051468,-0.06448702015812854
-0.14124528,-1.051170230253963,-0.06415074572265074
-0.14120865,-1.05353861529571,-0.06347819685169484
-0.14117202,-1.057598703938707,-0.06314192241621704
-0.14113539,-1.06199713330195,-0.06347819685169484
-0.14109876,-1.066057221944945,-0.06347819685169484
-0.14106213,-1.070455651308188,-0.06347819685169484
-0.1410255,-1.074515739951185,-0.06347819685169484
-0.14098887,-1.07857582859418,-0.06347819685169484
-0.14095224,-1.082974257957423,-0.06381447128717263
-0.14091561,-1.086019324439672,-0.06347819685169484
-0.14087898,-1.090756094523166,-0.06381447128717278
-0.14084235,-1.092786138844663,-0.06280564798073938
-0.14080572,-1.09583120532691,-0.06213309910978303
-0.14076909,-1.100906316130656,-0.06280564798073877
-0.14073246,-1.104289723333149,-0.06246937354526114
-0.14069583,-1.108688152696395,-0.06280564798073893
-0.1406592,-1.112748241339392,-0.06246937354526114
-0.14062257,-1.116469989262136,-0.06280564798073893
-0.14058594,-1.120868418625381,-0.06280564798073893
-0.14054931,-1.124928507268378,-0.06280564798073893
-0.14051268,-1.129326936631621,-0.06280564798073893
-0.14047605,-1.130680299512619,-0.06179682467430508
-0.14043942,-1.134740388155616,-0.06179682467430492
-0.14040279,-1.13846213607836,-0.06146055023882713
-0.14036616,-1.142183884001106,-0.06146055023882713
-0.14032953,-1.146920654084598,-0.06179682467430492
-0.1402929,-1.150980742727595,-0.06213309910978303
-0.14025627,-1.154702490650341,-0.06179682467430508
-0.14021964,-1.158424238573085,-0.06179682467430508
-0.14018301,-1.162484327216082,-0.06179682467430508
-0.14014638,-1.166206075138827,-0.06179682467430508
-0.14010975,-1.170266163781821,-0.06213309910978287
-0.14007312,-1.17229620810332,-0.06078800136787122
-0.14003649,-1.176017956026068,-0.06078800136787122
-0.13999986,-1.17973970394881,-0.06078800136787122
-0.13996323,-1.183461451871557,-0.06078800136787122
-0.1399266,-1.187521540514554,-0.06078800136787137
-0.13988997,-1.191919969877797,-0.06112427580334917
-0.13985334,-1.195641717800543,-0.06078800136787122
-0.13981671,-1.19936346572329,-0.06078800136787137
-0.13978008,-1.203423554366284,-0.06112427580334917
-0.13974345,-1.20646862084853,-0.06078800136787122
-0.13970682,-1.20849866517003,-0.05977917806143736
-0.13967019,-1.212897094533273,-0.05977917806143736
-0.13963356,-1.216280501735769,-0.05977917806143736
-0.13959693,-1.220678931099012,-0.06011545249691517
-0.1395603,-1.22406233830151,-0.05977917806143736
-0.13952367,-1.228122426944505,-0.05977917806143736
-0.13948704,-1.232182515587498,-0.05977917806143736
-0.13945041,-1.235904263510246,-0.05977917806143736
-0.13941378,-1.239964352153241,-0.06011545249691532
-0.13937715,-1.243009418635486,-0.05977917806143752
-0.13934052,-1.245039462956985,-0.05877035475500351
-0.13930389,-1.249099551599982,-0.05910662919048146
-0.13926726,-1.252482958802475,-0.05910662919048146
-0.13923063,-1.256543047445472,-0.05910662919048146
-0.139194,-1.25992645464797,-0.05877035475500367
-0.13915737,-1.264324884011212,-0.05910662919048146
-0.13912074,-1.268046631933958,-0.05910662919048146
-0.13908411,-1.271768379856706,-0.05910662919048146
-0.13904748,-1.276166809219949,-0.05910662919048146
-0.13901085,-1.279211875702195,-0.05877035475500351
-0.13897422,-1.281918601464193,-0.05843408031952525
-0.13893759,-1.284625327226189,-0.05776153144856966
-0.13890096,-1.288347075148934,-0.05776153144856966
-0.13886433,-1.292068823071678,-0.05776153144856966
-0.1388277,-1.295790570994426,-0.05809780588404761
-0.13879107,-1.299850659637421,-0.05843408031952556
-0.13875444,-1.302895726119666,-0.05809780588404776
-0.13871781,-1.306617474042413,-0.05809780588404761
-0.13868118,-1.310339221965158,-0.05809780588404761
-0.13864455,-1.314060969887902,-0.05776153144856981
-0.13860792,-1.317106036370151,-0.05776153144856966
-0.13857129,-1.31913608069165,-0.05675270814213595
-0.13853466,-1.323196169334642,-0.0570889825776136
-0.13849803,-1.326579576537139,-0.0567527081421358
-0.1384614,-1.329962983739637,-0.05675270814213595
-0.13842477,-1.334023072382631,-0.05708898257761375
