in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.00E+01,-9.88E+00,2.93E+02,2.50E-01
2.00E+00,1.26E+01,-7.23E+00,2.86E+02,2.50E-01
3.00E+00,1.59E+01,-4.78E+00,2.79E+02,2.50E-01
4.00E+00,2.00E+01,-2.54E+00,2.72E+02,2.50E-01
5.00E+00,2.51E+01,-5.14E-01,2.65E+02,2.50E-01
6.00E+00,3.16E+01,1.31E+00,2.57E+02,2.50E-01
7.00E+00,3.98E+01,3.03E+00,2.49E+02,2.50E-01
8.00E+00,5.01E+01,4.49E+00,2.41E+02,2.50E-01
9.00E+00,6.31E+01,5.71E+00,2.33E+02,2.50E-01
1.00E+01,7.94E+01,6.69E+00,2.25E+02,2.50E-01
1.10E+01,1.00E+02,7.45E+00,2.18E+02,2.50E-01
1.20E+01,1.26E+02,8.00E+00,2.11E+02,2.50E-01
1.30E+01,1.59E+02,8.39E+00,2.06E+02,2.50E-01
1.40E+01,2.00E+02,8.66E+00,2.01E+02,2.50E-01
1.50E+01,2.51E+02,8.84E+00,1.96E+02,2.50E-01
1.60E+01,3.16E+02,8.95E+00,1.93E+02,2.50E-01
1.70E+01,3.98E+02,9.02E+00,1.90E+02,2.50E-01
1.80E+01,5.01E+02,9.06E+00,1.88E+02,2.50E-01
1.90E+01,6.31E+02,9.08E+00,1.86E+02,2.50E-01
2.00E+01,7.94E+02,9.10E+00,1.84E+02,2.50E-01
2.10E+01,1.00E+03,9.10E+00,1.83E+02,2.50E-01
2.20E+01,1.26E+03,9.10E+00,1.82E+02,2.50E-01
2.30E+01,1.59E+03,9.10E+00,1.81E+02,2.50E-01
2.40E+01,2.00E+03,9.10E+00,1.80E+02,2.50E-01
2.50E+01,2.51E+03,9.09E+00,1.79E+02,2.50E-01
2.60E+01,3.16E+03,9.08E+00,1.78E+02,2.50E-01
2.70E+01,3.98E+03,9.09E+00,1.77E+02,2.50E-01
2.80E+01,5.01E+03,9.07E+00,1.76E+02,2.50E-01
2.90E+01,6.31E+03,9.06E+00,1.74E+02,2.50E-01
3.00E+01,7.94E+03,9.01E+00,1.72E+02,2.50E-01
3.10E+01,1.00E+04,9.00E+00,1.70E+02,2.50E-01
3.20E+01,1.26E+04,8.92E+00,1.68E+02,2.50E-01
3.30E+01,1.59E+04,8.83E+00,1.64E+02,2.50E-01
3.40E+01,2.00E+04,8.68E+00,1.60E+02,2.50E-01
3.50E+01,2.51E+04,8.44E+00,1.56E+02,2.50E-01
3.60E+01,3.16E+04,8.09E+00,1.50E+02,2.50E-01
3.70E+01,3.98E+04,7.59E+00,1.44E+02,2.50E-01
3.80E+01,5.01E+04,6.91E+00,1.36E+02,2.50E-01
3.90E+01,6.31E+04,5.98E+00,1.28E+02,2.50E-01
4.00E+01,7.94E+04,4.81E+00,1.20E+02,2.50E-01
4.10E+01,1.00E+05,3.39E+00,1.12E+02,2.50E-01
4.20E+01,1.26E+05,1.71E+00,1.04E+02,2.50E-01
4.30E+01,1.59E+05,-1.59E-01,9.59E+01,2.50E-01
4.40E+01,2.00E+05,-2.25E+00,8.86E+01,2.50E-01
4.50E+01,2.51E+05,-4.57E+00,8.18E+01,2.50E-01
4.60E+01,3.16E+05,-7.05E+00,7.57E+01,2.50E-01
4.70E+01,3.98E+05,-9.66E+00,7.06E+01,2.50E-01
4.80E+01,5.01E+05,-1.24E+01,6.66E+01,2.50E-01
4.90E+01,6.31E+05,-1.50E+01,6.37E+01,2.50E-01
5.00E+01,7.94E+05,-1.76E+01,6.17E+01,2.50E-01
5.10E+01,1.00E+06,-2.00E+01,6.02E+01,2.50E-01
