"freq
References : ['nf(2)']
Dependency : [freq]
Num. Points : [401]
Matrix Size : scalar
Type : Real","nf(2)
References : []
Dependency : [freq]
Num. Points : [401]
Matrix Size : scalar
Type : Real"
14.000000000000000 GHz,0.6646289895047242
14.005000000000001 GHz,0.6643830047551302
14.010000000000000 GHz,0.6641344737968883
14.015000000000001 GHz,0.6638834024741352
14.020000000000000 GHz,0.6636297967502240
14.025000000000000 GHz,0.6633736627080802
14.029999999999999 GHz,0.6631150065505202
14.035000000000000 GHz,0.6628538346005908
14.039999999999999 GHz,0.6625901533018992
14.045000000000000 GHz,0.6623239692189070
14.050000000000001 GHz,0.6620552890372635
14.055000000000000 GHz,0.6617841195640929
14.060000000000000 GHz,0.6615104677282828
14.065000000000000 GHz,0.6612343405807947
14.070000000000000 GHz,0.6609557452949123
14.074999999999999 GHz,0.6606746891665368
14.080000000000000 GHz,0.6603911796144395
14.085000000000001 GHz,0.6601052241805196
14.090000000000000 GHz,0.6598168305300539
14.095000000000001 GHz,0.6595260064519346
14.100000000000000 GHz,0.6592327598589085
14.105000000000000 GHz,0.6589370987877922
14.109999999999999 GHz,0.6586390313996895
14.115000000000000 GHz,0.6583385659802083
14.119999999999999 GHz,0.6580357109396542
14.125000000000000 GHz,0.6577304748132182
14.130000000000001 GHz,0.6574228662611623
14.135000000000000 GHz,0.6571128940690000
14.140000000000001 GHz,0.6568005671476496
14.145000000000000 GHz,0.6564858945336050
14.150000000000000 GHz,0.6561688853890727
14.154999999999999 GHz,0.6558495490021163
14.160000000000000 GHz,0.6555278947867849
14.164999999999999 GHz,0.6552039322832414
14.170000000000000 GHz,0.6548776711578663
14.175000000000001 GHz,0.6545491212033623
14.180000000000000 GHz,0.6542182923388552
14.185000000000000 GHz,0.6538851946099666
14.190000000000000 GHz,0.6535498381889077
14.195000000000000 GHz,0.6532122333745305
14.199999999999999 GHz,0.6528723905923863
14.205000000000000 GHz,0.6525303203947779
14.210000000000001 GHz,0.6521860334607964
14.215000000000000 GHz,0.6518395405963483
14.220000000000001 GHz,0.6514908527341715
14.225000000000000 GHz,0.6511399809338447
14.230000000000000 GHz,0.6507869363817860
14.234999999999999 GHz,0.6504317303912542
14.240000000000000 GHz,0.6500743744023008
14.244999999999999 GHz,0.6497148799817660
14.250000000000000 GHz,0.6493532588232209
14.255000000000001 GHz,0.6489895227469205
14.260000000000000 GHz,0.6486236836997405
14.265000000000001 GHz,0.6482557537551159
14.270000000000000 GHz,0.6478857451129417
14.275000000000000 GHz,0.6475136700994994
14.279999999999999 GHz,0.6471395411673317
14.285000000000000 GHz,0.6467633708951522
14.289999999999999 GHz,0.6463851719877063
14.295000000000000 GHz,0.6460049572756472
14.300000000000001 GHz,0.6456227397153792
14.305000000000000 GHz,0.6452385323889103
14.310000000000000 GHz,0.6448523485036856
14.315000000000000 GHz,0.6444642013924183
14.320000000000000 GHz,0.6440741045128769
14.324999999999999 GHz,0.6436820714477167
14.330000000000000 GHz,0.6432881159042532
14.335000000000001 GHz,0.6428922517142470
14.340000000000000 GHz,0.6424944928336663
14.345000000000001 GHz,0.6420948533424603
14.350000000000000 GHz,0.6416933474442914
14.355000000000000 GHz,0.6412899894662831
14.359999999999999 GHz,0.6408847938587263
14.365000000000000 GHz,0.6404777751948236
14.369999999999999 GHz,0.6400689481703608
14.375000000000000 GHz,0.6396583276034222
14.380000000000001 GHz,0.6392459284340599
14.385000000000000 GHz,0.6388317657239662
14.390000000000001 GHz,0.6384158546561330
14.395000000000000 GHz,0.6379982105344979
14.400000000000000 GHz,0.6375788487835821
14.404999999999999 GHz,0.6371577849481141
14.410000000000000 GHz,0.6367350346926459
14.414999999999999 GHz,0.6363106138011498
14.420000000000000 GHz,0.6358845381766195
14.425000000000001 GHz,0.6354568238406336
14.430000000000000 GHz,0.6350274869329502
14.435000000000000 GHz,0.6345965437110398
14.440000000000000 GHz,0.6341640105496410
14.445000000000000 GHz,0.6337299039403007
14.449999999999999 GHz,0.6332942404908879
14.455000000000000 GHz,0.6328570369251180
14.460000000000001 GHz,0.6324183100820375
14.465000000000000 GHz,0.6319780769155331
14.470000000000001 GHz,0.6315363544937994
14.475000000000000 GHz,0.6310931599988032
14.480000000000000 GHz,0.6306485107257482
14.484999999999999 GHz,0.6302024240825165
14.490000000000000 GHz,0.6297549175891000
14.494999999999999 GHz,0.6293060088770308
14.500000000000000 GHz,0.6288557156887788
14.505000000000001 GHz,0.6284040558771680
14.510000000000000 GHz,0.6279510474047522
14.515000000000001 GHz,0.6274967083432025
14.520000000000000 GHz,0.6270410568726690
14.525000000000000 GHz,0.6265841112811369
14.529999999999999 GHz,0.6261258899637722
14.535000000000000 GHz,0.6256664114222581
14.539999999999999 GHz,0.6252056942641085
14.545000000000000 GHz,0.6247437572019962
14.550000000000001 GHz,0.6242806190530400
14.555000000000000 GHz,0.6238162987380919
14.560000000000000 GHz,0.6233508152810348
14.565000000000000 GHz,0.6228841878080271
