"Freq [GHz]","dB(S(1,1)) []"
2.5,-0.117519523367882
2.505,-0.11950953599368
2.51,-0.121569040623485
2.515,-0.123700448256437
2.52,-0.125906308273192
2.525,-0.128189316944227
2.53,-0.130552326547083
2.535,-0.132998355143092
2.54,-0.135530597068271
2.545,-0.138152434198434
2.55,-0.140867448054168
2.555,-0.143679432817887
2.56,-0.14659240934134
2.565,-0.149610640230666
2.57,-0.152738646103801
2.575,-0.155981223124571
2.58,-0.15934346192878
2.585,-0.162830768068534
2.59,-0.166448884114533
2.595,-0.17020391356991
2.6,-0.174102346765937
2.605,-0.17815108892711
2.61,-0.182357490613342
2.615,-0.186729380769552
2.62,-0.191275102637647
2.625,-0.196003552813764
2.63,-0.200924223765199
2.635,-0.206047250156852
2.64,-0.211383459375789
2.645,-0.216944426688011
2.65,-0.222742535510707
2.655,-0.228791043340361
2.66,-0.235104153940594
2.665,-0.241697096465444
2.67,-0.248586212275548
2.675,-0.255789050296769
2.68,-0.26332447187535
2.685,-0.271212766202519
2.69,-0.279475777516202
2.695,-0.28813704544078
2.7,-0.29722196000108
2.705,-0.30675793304525
2.71,-0.316774588038862
2.715,-0.327303970452693
2.72,-0.338380781262428
2.725,-0.350042636420133
2.73,-0.362330355545251
2.735,-0.375288283531065
2.74,-0.388964649273943
2.745,-0.403411966322186
2.75,-0.418687480917732
2.755,-0.434853673681134
2.76,-0.451978822084865
2.765,-0.47013763188833
2.77,-0.489411946889732
2.775,-0.509891547709144
2.78,-0.531675051876915
2.785,-0.554870929290813
2.79,-0.579598649152954
2.795,-0.605989976836986
2.8,-0.634190441795365
2.805,-0.664361000632431
2.81,-0.696679922861248
2.815,-0.731344930651982
2.82,-0.768575628064556
2.825,-0.808616259810486
2.83,-0.851738844434624
2.835,-0.898246731803824
2.84,-0.948478639687337
2.845,-1.0028132286056
2.85,-1.06167427736663
2.855,-1.12553652281311
2.86,-1.19493222477266
2.865,-1.27045850880051
2.87,-1.3527855217195
2.875,-1.44266540332255
2.88,-1.54094202478413
2.885,-1.64856135992788
2.89,-1.76658222440458
2.895,-1.89618691810181
2.9,-2.03869100594978
2.905,-2.19555102575316
2.91,-2.36836825253527
2.915,-2.55888568216861
2.92,-2.76897398795581
2.925,-3.00060016429865
2.93,-3.25576964832178
2.935,-3.5364285846218
2.94,-3.84430722779553
2.945,-4.18067805147299
2.95,-4.5459933046559
2.955,-4.93935848430713
2.96,-5.35779626556416
2.965,-5.79527355234742
2.97,-6.24152969854503
2.975,-6.68089914693632
2.98,-7.09160404616228
2.985,-7.44635463248653
2.99,-7.71525709882112
2.995,-7.87143072498887
3,-7.8980371742464
3.005,-7.79355212365525
3.01,-7.57220155747129
3.015,-7.25929457633813
3.02,-6.88425204563382
3.025,-6.4746607767931
3.03,-6.05296450367838
3.035,-5.63557812044147
3.04,-5.23345296899499
3.045,-4.85320950995325
3.05,-4.49831163059578
3.055,-4.17005767075619
3.06,-3.86833538364904
3.065,-3.59216331231742
3.07,-3.34006360295904
3.075,-3.1103108030014
3.08,-2.90109308735496
3.085,-2.7106132702234
3.09,-2.5371492161588
3.095,-2.37908733866263
3.1,-2.23493857741799
3.105,-2.10334321941931
3.11,-1.9830688350191
3.115,-1.87300416576761
3.12,-1.77215082590596
3.125,-1.67961402033855
3.13,-1.59459303897374
3.135,-1.51637199159632
3.14,-1.4443110516818
3.145,-1.37783834950854
3.15,-1.31644257254892
3.155,-1.25966627942681
3.16,-1.20709990250339
3.165,-1.15837639646374
3.17,-1.11316648141711
3.175,-1.0711744258204
3.18,-1.03213431485258
3.185,-0.995806752281393
3.19,-0.96197594743683
3.195,-0.930447143022747
3.2,-0.901044343772449
3.205,-0.873608310144689
3.21,-0.847994785223295
3.215,-0.824072926651661
3.22,-0.80172391877054
3.225,-0.78083974312787
3.23,-0.761322088204194
3.235,-0.743081381566349
3.24,-0.726035929750606
3.245,-0.710111153010839
3.25,-0.695238903674631
3.255,-0.681356858255363
3.26,-0.668407974695834
3.265,-0.6563400071895
3.27,-0.645105071959494
3.275,-0.634659258189428
3.28,-0.62496227901026
3.285,-0.615977158066585
3.29,-0.607669947725777
3.295,-0.60000947546541
3.3,-0.592967115386335
3.305,-0.586516582159068
3.31,-0.580633745026185
3.315,-0.5752964597603
3.32,-0.57048441671835
3.325,-0.566179003346317
3.33,-0.562363179674501
3.335,-0.559021365508323
3.34,-0.556139338163762
3.345,-0.553704139724546
3.35,-0.551703992910226
3.355,-0.550128224744612
3.36,-0.548967197301183
3.365,-0.548212244880942
3.37,-0.547855617047176
3.375,-0.547890427003021
3.38,-0.548310604852987
3.385,-0.54911085533805
3.39,-0.550286619677777
3.395,-0.551834041192228
3.4,-0.553749934410866
3.405,-0.556031757407751
3.41,-0.558677587130072
3.415,-0.561686097513043
3.42,-0.565056540196919
3.425,-0.56878872768309
3.43,-0.572883018785192
3.435,-0.577340306248377
3.44,-0.582162006426087
3.445,-0.587350050918162
3.45,-0.59290688008756
3.455,-0.598835438385568
3.46,-0.605139171427138
3.465,-0.611822024768821
3.47,-0.618888444351892
3.475,-0.626343378583544
3.48,-0.634192282037756
3.485,-0.6424411207667
3.49,-0.651096379222192
3.495,-0.660165068794806
3.5,-0.669654737986784
