"x_sweep []","Freq [GHz]","dB(S(1,1)) []"
0.7,2.5,-0.22997489051634
0.7,2.505,-0.234927327507751
0.7,2.51,-0.240041384036558
0.7,2.515,-0.245323522494865
0.7,2.52,-0.250780536788759
0.7,2.525,-0.256419572057874
0.7,2.53,-0.262248145753434
0.7,2.535,-0.268274170181501
0.7,2.54,-0.274505976627112
0.7,2.545,-0.28095234118528
0.7,2.55,-0.287622512436467
0.7,2.555,-0.29452624111579
0.7,2.56,-0.301673811939452
0.7,2.565,-0.309076077766245
0.7,2.57,-0.316744496288638
0.7,2.575,-0.32469116946609
0.7,2.58,-0.33292888593281
0.7,2.585,-0.341471166634603
0.7,2.59,-0.35033231397301
0.7,2.595,-0.359527464762572
0.7,2.6,-0.369072647335668
0.7,2.605,-0.378984843163059
0.7,2.61,-0.3892820533936
0.7,2.615,-0.399983370757551
0.7,2.62,-0.411109057321811
0.7,2.625,-0.422680628635194
0.7,2.63,-0.434720944856573
0.7,2.635,-0.447254309519827
0.7,2.64,-0.460306576657452
0.7,2.645,-0.473905267079995
0.7,2.65,-0.488079694693107
0.7,2.655,-0.502861103827775
0.7,2.66,-0.518282818663947
0.7,2.665,-0.534380405945452
0.7,2.67,-0.551191852314535
0.7,2.675,-0.568757757741297
0.7,2.68,-0.587121546687654
0.7,2.685,-0.606329698829014
0.7,2.69,-0.626432001364339
0.7,2.695,-0.647481825176168
0.7,2.7,-0.669536427364189
0.7,2.705,-0.69265728296845
0.7,2.71,-0.716910449029523
0.7,2.715,-0.742366964505085
0.7,2.72,-0.769103289983134
0.7,2.725,-0.797201791607032
0.7,2.73,-0.826751274164426
0.7,2.735,-0.857847568900428
0.7,2.74,-0.890594182304423
0.7,2.745,-0.925103012902013
0.7,2.75,-0.961495143972013
0.7,2.755,-0.999901721119831
0.7,2.76,-1.04046492479088
0.7,2.765,-1.08333904912309
0.7,2.77,-1.12869170004299
0.7,2.775,-1.17670512723362
0.7,2.78,-1.22757770658564
0.7,2.785,-1.28152559202445
0.7,2.79,-1.33878455824543
0.7,2.795,-1.39961205894801
0.7,2.8,-1.46428952872054
0.7,2.805,-1.53312496089331
0.7,2.81,-1.60645579857347
0.7,2.815,-1.68465218186499
0.7,2.82,-1.76812060116906
0.7,2.825,-1.8573080147244
0.7,2.83,-1.95270649853901
0.7,2.835,-2.05485850905408
0.7,2.84,-2.16436285389655
0.7,2.845,-2.28188148476547
0.7,2.85,-2.40814725001444
0.7,2.855,-2.54397277441863
0.7,2.86,-2.69026067214225
0.7,2.865,-2.84801534910004
0.7,2.87,-3.01835671702766
0.7,2.875,-3.20253622971498
0.7,2.88,-3.40195577070425
0.7,2.885,-3.61819008384421
0.7,2.89,-3.85301366169987
0.7,2.895,-4.10843331890315
0.7,2.9,-4.38672811839186
0.7,2.905,-4.69049894926243
0.7,2.91,-5.02273097002292
0.7,2.915,-5.38687347883835
0.7,2.92,-5.78694379161978
0.7,2.925,-6.22766479278981
0.7,2.93,-6.714650638028
0.7,2.935,-7.25466279515898
